BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
16-21745,False,False,False,False,True,False,
16-21747,False,False,True,False,False,False,
16-21758,False,False,True,False,False,False,
16-21760,False,False,True,False,False,False,
16-21761,False,False,False,False,False,False,collectivité territoriale
16-21767,False,False,False,False,True,False,
16-21772,False,False,False,False,False,False,Collectivité Territoriale
16-21777,True,False,False,False,False,False,
16-21778,False,False,True,False,False,False,
16-21780,False,False,True,False,False,False,
16-21789,False,False,True,False,False,False,
16-21790,False,False,False,False,True,False,
16-21792,True,False,False,False,False,False,
16-21795,False,False,False,False,False,False,
16-21796,False,False,False,False,False,False,
16-21797,False,False,False,False,False,False,
16-21798,False,False,False,False,False,False,autre
16-21802,False,False,False,False,False,False,CENTRE HOSPITALIER
16-21808,False,False,False,False,False,False,
16-21811,False,False,True,False,False,False,
16-21814,False,False,False,False,False,False,autre
16-21820,True,False,False,False,False,False,
15-185102,False,False,False,False,True,False,
16-21825,False,False,False,False,False,False,Communauté d'agglomération
16-21826,False,False,True,False,False,False,
16-21829,True,False,False,False,False,False,
16-21831,False,False,False,False,False,False,autre
16-21842,False,False,True,False,False,False,
16-21847,False,False,False,False,False,False,
16-21850,False,False,False,False,True,False,
16-21851,False,False,True,False,False,False,
16-21852,False,False,True,False,False,False,
16-21853,False,False,True,False,False,False,
16-21859,False,False,False,False,True,False,
16-21864,False,False,False,False,False,False,consulaire
16-21866,False,False,False,False,False,False,
16-21867,False,False,True,False,False,False,
16-6570,False,False,False,False,False,False,
16-21871,False,False,False,False,False,False,centre hospitalier
16-21874,False,False,False,False,False,False,
16-21880,False,False,False,False,True,False,
16-21881,False,False,False,False,True,False,
16-21885,False,False,True,False,False,False,
16-21891,False,True,False,False,False,False,
16-21892,False,False,False,False,False,False,Collectivité territoriale
16-21895,True,False,False,False,False,False,
16-21896,False,False,False,False,False,False,
16-21897,False,False,False,False,True,False,
16-21903,False,False,False,False,True,False,
16-21904,False,False,True,False,False,False,
16-21907,False,False,True,False,False,False,
16-21910,False,False,False,False,False,False,
16-21912,False,False,True,False,False,False,
16-21918,False,True,False,False,False,False,
16-6863,False,False,True,False,False,False,
16-21923,False,False,False,False,True,False,
16-21926,False,False,True,False,False,False,
16-21933,False,False,False,False,True,False,
16-6769,False,False,True,False,False,False,
16-21944,False,False,False,False,True,False,
16-21949,False,False,False,False,False,False,
16-21965,False,False,False,False,False,False,
16-21968,False,False,True,False,False,False,
16-21975,False,False,False,False,True,False,
16-21976,False,False,True,False,False,False,
16-21981,False,False,False,False,True,False,
16-21986,False,False,False,False,True,False,
16-21987,False,False,False,False,True,False,
16-21990,False,False,False,False,False,False,
16-21991,False,False,True,False,False,False,
16-21998,False,False,False,False,True,False,
16-22001,False,False,False,False,True,False,
16-22004,True,False,False,False,False,False,
16-22008,False,False,True,False,False,False,
16-22010,False,False,False,False,False,False,
16-22015,True,False,False,False,False,False,
16-22016,False,False,False,False,False,False,Société d'économie mixte
16-22021,False,False,True,False,False,False,
16-22022,False,False,False,False,False,False,autre
16-22024,False,False,False,False,True,False,
16-22030,False,False,False,False,False,False,Etablissement Public Local d'Enseignement
16-22031,False,False,False,False,False,False,
16-22034,False,False,True,False,False,False,
16-22035,False,False,False,False,True,False,
16-6223,False,False,False,False,True,False,
16-22039,True,False,False,False,False,False,
16-22040,False,False,False,False,False,False,autre
16-5518,False,False,True,False,False,False,
16-22044,False,False,False,False,True,False,
16-22047,False,False,False,False,False,False,Etablissement Public Administratif
16-22051,False,False,True,False,False,False,
16-22054,False,False,True,False,False,False,
16-7880,False,False,False,False,False,False,
16-22063,False,False,True,False,False,False,
16-22064,True,False,False,False,False,False,
16-22065,False,False,False,False,False,False,Etablissement public administratif
16-22068,False,False,False,False,False,False,EPCI
16-22071,False,False,False,False,True,False,
16-22078,False,False,True,False,False,False,
16-22080,False,False,True,False,False,False,
16-22085,False,False,True,False,False,False,
16-22087,False,False,True,False,False,False,
15-185728,False,False,False,False,False,False,
16-22090,False,False,False,False,True,False,
16-22097,False,False,False,False,True,False,
16-22099,False,False,True,False,False,False,
16-22101,True,False,False,False,False,False,
16-22102,False,False,True,False,False,False,
16-22103,True,False,False,False,False,False,
16-22106,False,False,True,False,False,False,
16-22109,False,False,False,False,True,False,
16-22116,False,False,True,False,False,False,
16-22125,False,False,True,False,False,False,
16-22127,False,False,True,False,False,False,
16-22128,False,False,False,False,True,False,
16-22132,False,False,False,False,False,False,
16-22133,False,False,True,False,False,False,
16-22142,False,False,True,False,False,False,
16-22144,True,False,False,False,False,False,
16-22147,False,False,True,False,False,False,
16-22149,False,False,False,False,False,False,
16-22153,False,False,True,False,False,False,
16-22156,False,False,False,False,True,False,
16-22157,False,False,True,False,False,False,
16-22169,False,False,False,False,False,False,
16-22170,False,False,False,False,True,False,
16-22172,False,False,True,False,False,False,
16-22175,False,False,True,False,False,False,
16-22178,False,False,False,False,False,False,
15-189588,False,False,True,False,False,False,
16-22183,True,False,False,False,False,False,
16-6103,False,False,False,False,False,False,autorité locale
16-22193,False,False,True,False,False,False,
16-22195,False,False,False,False,True,False,
16-22196,False,False,False,False,True,False,
15-185086,False,False,False,False,True,False,
16-22206,False,False,True,False,False,False,
16-22209,False,False,False,False,False,False,
16-22216,False,False,True,False,False,False,
16-22219,True,False,False,False,False,False,
16-22223,False,False,True,False,False,False,
15-185268,False,False,False,False,True,False,
15-185585,False,False,True,False,False,False,
16-22235,False,False,True,False,False,False,
16-22237,True,False,False,False,False,False,
15-185407,False,False,False,False,False,False,
16-22240,False,False,True,False,False,False,
16-22241,False,False,True,False,False,False,
16-22243,False,False,False,False,False,False,EPCI
16-22248,True,False,False,False,False,False,
15-185865,False,False,True,False,False,False,
16-22250,False,False,True,False,False,False,
16-22252,False,False,False,False,False,False,
16-22254,False,False,False,False,False,False,
16-22255,False,False,False,False,True,False,
16-22258,False,False,False,False,True,False,
16-22259,False,False,True,False,False,False,
16-22260,False,False,True,False,False,False,
16-22261,False,False,True,False,False,False,
16-22269,False,False,False,False,True,False,
16-5915,False,False,False,False,False,False,
16-22279,False,False,True,False,False,False,
16-22280,False,False,False,False,False,False,
16-22283,False,False,False,True,False,False,
16-22286,False,False,False,False,False,False,Santé
16-22290,False,False,True,False,False,False,
16-22293,False,False,True,False,False,False,
16-22300,False,False,True,False,False,False,
16-22306,False,False,True,False,False,False,
16-22310,False,False,True,False,False,False,
16-22312,True,False,False,False,False,False,
16-22313,False,False,False,False,True,False,
16-22315,False,False,True,False,False,False,
16-22318,False,False,False,False,False,False,
16-22319,False,False,False,False,True,False,
16-22320,False,False,True,False,False,False,
16-22321,False,False,False,False,False,False,
16-22322,False,False,True,False,False,False,
16-22324,False,False,True,False,False,False,
16-22328,False,False,True,False,False,False,
16-22333,False,False,True,False,False,False,
16-22334,False,False,False,False,False,False,Organisme de droit privé de la MSA
16-22336,False,False,False,False,False,False,
16-22341,False,False,True,False,False,False,
16-22342,False,False,False,False,True,False,
16-22343,False,False,False,False,True,False,
16-22344,False,False,False,False,False,False,
16-22345,False,False,False,False,True,False,
16-22347,False,False,False,False,True,False,
16-22351,False,False,False,False,True,False,
16-22352,False,False,False,False,False,False,EPCI
16-22357,False,False,False,False,False,False,
16-22358,False,False,False,False,False,False,EPCI
16-22363,False,False,False,False,True,False,
16-22367,False,False,True,False,False,False,
16-22369,False,False,False,False,False,False,
16-22370,False,False,True,False,False,False,
16-22371,True,False,False,False,False,False,
16-22374,False,False,False,False,True,False,
16-22375,False,False,False,False,True,False,
16-22380,False,False,False,False,False,False,
16-22385,False,False,False,False,False,False,
16-22388,False,False,False,False,True,False,
16-22389,False,False,True,False,False,False,
16-22393,True,False,False,False,False,False,
16-22398,False,False,False,False,True,False,
16-22401,False,False,True,False,False,False,
15-182901,False,False,True,False,False,False,
16-22410,False,False,False,False,False,False,autre
16-22411,False,False,False,False,True,False,
16-22420,False,False,False,False,True,False,
16-22421,False,False,True,False,False,False,
16-22425,True,False,False,False,False,False,
16-22435,False,False,False,False,False,False,
16-22437,False,False,True,False,False,False,
16-22438,False,False,True,False,False,False,
16-22439,False,False,True,False,False,False,
16-22440,False,False,True,False,False,False,
16-22449,False,False,True,False,False,False,
15-184960,True,False,False,False,False,False,
16-22453,True,False,False,False,False,False,
16-22455,False,False,True,False,False,False,
16-22456,False,False,True,False,False,False,
16-22462,False,False,False,True,False,False,
16-22467,True,False,False,False,False,False,
16-2247,False,False,False,False,False,False,
16-22473,False,False,False,False,True,False,
16-22477,False,False,False,False,True,False,
16-22479,False,False,False,False,True,False,
16-22480,False,False,False,False,True,False,
16-22481,False,False,True,False,False,False,
16-22483,False,False,True,False,False,False,
16-22484,False,False,False,False,True,False,
16-22489,False,False,False,False,False,False,Service Départemental d'Incendie et de Secours
16-22495,False,False,False,False,False,False,
16-22501,True,False,False,False,False,False,
15-185376,False,False,False,False,True,False,
16-22504,False,False,False,True,False,False,
16-22506,False,False,False,False,True,False,
16-10926,False,False,True,False,False,False,
16-22512,False,False,True,False,False,False,
16-22517,False,False,False,False,True,False,
15-185549,False,False,True,False,False,False,
16-22525,False,False,True,False,False,False,
16-22528,False,False,False,False,True,False,
16-22530,False,False,True,False,False,False,
16-22538,True,False,False,False,False,False,
16-22540,True,False,False,False,False,False,
16-22552,False,False,True,False,False,False,
16-22555,True,False,False,False,False,False,
16-22557,False,False,False,False,True,False,
16-22561,False,False,True,False,False,False,
16-22562,True,False,False,False,False,False,
16-22565,False,False,True,False,False,False,
16-5576,False,False,False,False,False,False,Commune
16-22569,False,False,False,False,True,False,
16-22574,False,False,True,False,False,False,
16-22577,False,False,False,False,False,False,
16-22583,False,False,True,False,False,False,
16-22584,False,False,False,False,True,False,
16-22605,False,False,False,False,False,False,
16-22611,False,False,True,False,False,False,
16-8734,False,False,True,False,False,False,
16-22615,True,False,False,False,False,False,
16-22617,False,False,True,False,False,False,
16-22631,False,False,True,False,False,False,
16-22640,False,False,False,False,True,False,
16-22646,False,False,True,False,False,False,
16-22648,False,False,True,False,False,False,
16-22655,False,False,False,False,False,False,
16-6375,True,False,False,False,False,False,
16-22660,False,False,False,False,True,False,
16-22661,False,False,False,False,False,False,ASSOCIATION
16-22664,True,False,False,False,False,False,
16-22665,False,False,False,False,False,False,
16-22680,False,False,True,False,False,False,
15-185858,False,False,False,False,True,False,
16-22682,False,False,False,False,True,False,
16-22685,False,False,False,False,True,False,
16-22687,False,False,False,True,False,False,
16-22688,False,False,False,False,False,False,
16-22690,False,False,True,False,False,False,
16-22692,False,False,True,False,False,False,
16-22694,False,False,True,False,False,False,
16-22695,False,False,True,False,False,False,
16-22696,False,False,True,False,False,False,
16-22698,False,False,True,False,False,False,
16-22704,False,False,True,False,False,False,
16-22708,False,False,True,False,False,False,
16-22711,False,False,False,False,True,False,
16-22717,False,False,False,False,False,False,
15-185349,False,False,True,False,False,False,
16-22721,False,False,False,False,True,False,
16-22722,False,False,True,False,False,False,
16-22724,False,False,False,False,True,False,
16-22729,False,False,False,False,True,False,
16-22730,False,False,False,False,True,False,
16-22731,False,False,True,False,False,False,
16-22741,False,False,False,False,False,False,Syndicat mixte fermé à la carte
16-22745,False,False,True,False,False,False,
16-22750,False,False,True,False,False,False,
16-22754,True,False,False,False,False,False,
16-22763,False,False,True,False,False,False,
16-22767,False,False,False,False,True,False,
15-186045,False,False,True,False,False,False,
16-22774,False,False,True,False,False,False,
16-22781,True,False,False,False,False,False,
16-22782,True,False,False,False,False,False,
16-22783,False,False,False,False,True,False,
16-2279,False,False,True,False,False,False,
16-22799,False,False,True,False,False,False,
16-22804,False,False,True,False,False,False,
16-22809,False,False,True,False,False,False,
16-22810,False,False,True,False,False,False,
16-22813,False,False,True,False,False,False,
16-22819,False,False,True,False,False,False,
16-22821,False,False,True,False,False,False,
16-22825,False,False,False,False,True,False,
16-22839,False,False,False,False,True,False,
16-22840,False,False,True,False,False,False,
16-22841,False,False,True,False,False,False,
16-22844,False,False,True,False,False,False,
16-22849,False,False,True,False,False,False,
16-22850,True,False,False,False,False,False,
16-22851,False,False,False,False,True,False,
16-22853,False,False,True,False,False,False,
16-22854,True,False,False,False,False,False,
16-22855,False,False,False,False,True,False,
16-22856,False,False,True,False,False,False,
16-22859,False,False,True,False,False,False,
16-22863,True,False,False,False,False,False,
16-22865,False,False,False,True,False,False,
16-22866,False,False,False,False,True,False,
16-22867,False,False,True,False,False,False,
16-22868,False,False,False,False,True,False,
16-22872,True,False,False,False,False,False,
16-22874,False,False,True,False,False,False,
16-22878,False,False,True,False,False,False,
16-22882,False,False,True,False,False,False,
16-22883,False,False,False,False,True,False,
16-22885,False,False,True,False,False,False,
16-22891,False,False,True,False,False,False,
16-22893,False,False,True,False,False,False,
16-22899,False,False,True,False,False,False,
16-22900,False,False,True,False,False,False,
16-22902,False,False,False,False,True,False,
16-22914,False,False,True,False,False,False,
16-22918,False,False,True,False,False,False,
16-22921,False,False,False,False,True,False,
16-22924,False,False,True,False,False,False,
16-22925,False,False,False,False,True,False,
16-22927,False,False,True,False,False,False,
16-22928,False,False,False,False,False,False,
16-22938,False,False,False,False,False,False,
16-22939,False,False,True,False,False,False,
16-22940,False,False,False,False,False,False,
16-22960,False,False,False,False,True,False,
16-22962,False,False,False,False,True,False,
16-22964,True,False,False,False,False,False,
16-22966,False,False,True,False,False,False,
16-22968,False,False,True,False,False,False,
16-22971,False,False,False,False,False,False,Association foncière urbaine autorisée
16-7269,False,False,True,False,False,False,
16-22977,False,False,True,False,False,False,
16-22978,False,False,True,False,False,False,
16-22982,False,False,False,False,True,False,
16-22988,False,False,True,False,False,False,
