BOAMP_AVIS_NUM,D_11_01_Conditiondelai_Receptcandidat,D_11_02_Conditiondelai_Receptoffres,D_11_03_Conditiondelai_Limiteenvoiinvit,D_11_04_Conditiondelai_Validiteoffre,D_11_04_01_Conditiondelai_Validiteoffre_Jusquau,D_11_04_02_Conditiondelai_Validiteoffre_Dureemois,D_11_04_03_Conditiondelai_Validiteoffre_Dureejour,D_11_05_Conditiondelai_Dureesystemequalification
16-178660,,2017-01-16 11:00:00,,CF_NIV_SUIV,,,120.0,
16-178661,,2017-01-12 15:00:00,,CF_NIV_SUIV,,,120.0,
16-178666,,2017-02-03 10:30:00,,CF_NIV_SUIV,,,120.0,
16-178670,,2017-01-09 11:00:00,,CF_NIV_SUIV,,,,
16-178672,,2017-02-03 15:00:00,,CF_NIV_SUIV,,,120.0,
16-178674,,2017-01-20 16:00:00,,CF_NIV_SUIV,,4.0,,
16-178676,,2017-01-16 16:00:00,,CF_NIV_SUIV,,,90.0,
16-178680,,2017-01-04 11:00:00,,CF_NIV_SUIV,,,,
16-178682,2017-01-13 16:00:00,,,CF_NIV_SUIV,,,120.0,
16-178683,,2017-01-04 16:00:00,,CF_NIV_SUIV,,,120.0,
16-178684,2017-01-18 15:00:00,,,CF_NIV_SUIV,,,,
16-178685,,2017-01-16 11:00:00,2017-01-23 23:00:00,CF_NIV_SUIV,,,,
16-178687,,2017-01-30 15:00:00,,CF_NIV_SUIV,,,,
16-178688,,2017-01-16 09:00:00,,CF_NIV_SUIV,,4.0,,
16-178689,,2017-01-05 15:00:00,,CF_NIV_SUIV,,3.0,,
16-178691,,2017-01-13 11:00:00,,CF_NIV_SUIV,,,,
16-178692,,2017-01-10 11:00:00,,CF_NIV_SUIV,,,120.0,
16-178693,,2017-02-02 15:00:00,,CF_NIV_SUIV,,,240.0,
16-178696,,2017-01-24 15:00:00,,CF_NIV_SUIV,,,,
16-178700,,2017-01-30 11:00:00,,CF_NIV_SUIV,,,,
16-178701,,2017-02-16 11:00:00,,CF_NIV_SUIV,,,,
16-178702,,2017-01-26 10:00:00,,CF_NIV_SUIV,,4.0,,
16-178705,2017-01-30 11:00:00,2017-02-27 11:00:00,,CF_NIV_SUIV,,,,
16-178708,,2017-01-25 11:00:00,,CF_NIV_SUIV,,,180.0,
16-178709,,2017-01-27 11:00:00,,CF_NIV_SUIV,,4.0,,
16-178711,,2017-01-16 10:30:00,,CF_NIV_SUIV,,,90.0,
16-178713,,2017-02-01 11:00:00,,CF_NIV_SUIV,,,,
16-178715,,2017-01-13 11:00:00,,CF_NIV_SUIV,,,90.0,
16-178717,,2017-01-23 11:00:00,,CF_NIV_SUIV,,,120.0,
16-178720,,2017-01-16 11:00:00,,CF_NIV_SUIV,,,180.0,
16-178722,,2017-01-27 16:00:00,,CF_NIV_SUIV,,,,
16-178723,,2017-01-23 11:00:00,,CF_NIV_SUIV,,,,
16-178725,,2017-01-24 11:00:00,,CF_NIV_SUIV,,,,
16-178726,,2017-02-01 23:00:00,,CF_NIV_SUIV,,,,
16-178727,,2017-01-13 15:00:00,,CF_NIV_SUIV,,,120.0,
16-178733,,2017-01-26 15:00:00,,CF_NIV_SUIV,,3.0,,
16-178736,,2017-01-16 11:00:00,,CF_NIV_SUIV,,,,
16-178741,,2017-01-20 15:00:00,,CF_NIV_SUIV,,3.0,,
